//////
Buffer size (Samples)
32022528
Sampling Rate (Hz)
1000000000
///
0	916866
1	-692391
2	1158223
3	-3430007
4	-257212
5	33395
6	800156
7	-2014701
8	-270179
9	-349282
10	1755637
11	55750
12	-588390
13	-295039
14	1171501
15	21173
16	-4189
17	-1392777
18	-913156
19	8999
20	-1608492
21	-446095
22	-1112431
23	-1258799
24	-713501
25	227312
26	-1986851
27	-333012
28	-1170704
29	1443591
30	-43979
31	245882
32	-828205
33	-1192587
34	-1111741
35	90650
36	580259
37	-856147
38	727448
39	418272
40	-465345
41	-473178
42	169617
43	1013089
44	311212
45	-398393
46	166766
47	1368735
48	834063
49	1791605
50	-780943
51	-1234596
52	105838
53	2007
54	78660
55	-1070667
56	914143
57	-872748
58	-709867
59	-1211063
60	1298257
61	-8736
62	-288890
63	-1082860
64	1316712
65	767985
66	-529519
67	1175246
68	-698929
69	219996
70	-226460
71	1427223
72	1844409
73	707144
74	124117
75	-1170194
76	533266
77	-1004107
78	-225114
79	867339
80	-820347
81	1075401
82	-203201
83	-65316
84	-1279284
85	-646278
86	-588136
87	-305375
88	201301
89	-848972
90	324269
91	-376368
92	-870061
93	-898128
94	-1733841
95	858375
96	-168951
97	-56863
98	1655032
99	1129555
100	1072847
101	130013
102	726282
103	211552
104	-589523
105	269424
106	687968
107	516077
108	917595
109	-551759
110	562717
111	587184
112	-1509879
113	-542214
114	74403
115	1139376
116	772931
117	-837792
118	-39585
119	-260191
120	445550
121	98201
122	-1106755
123	-1873792
124	-1557180
125	845410
126	18307
127	-746911
128	443934
129	1908124
130	-516792
131	447466
132	-154511
133	-390341
134	-934676
135	172235
136	-382355
137	368192
138	-1272123
139	156780
140	391365
141	-719555
142	-187022
143	372792
144	-671832
145	263437
146	-728049
147	-92481
148	-270114
149	-376054
150	191411
151	-723590
152	-87140
153	2751895
154	103650
155	553343
156	-385594
157	-253305
158	-357506
159	-801902
160	305471
161	226248
162	270034
163	429082
164	1268111
165	627984
166	727142
167	-156761
168	-598409
169	49788
170	353664
171	-60488
172	334917
173	-227291
174	141362
175	1191635
176	1231873
177	-571959
178	86215
179	-632684
180	1541476
181	428679
182	-1617286
183	58945
184	-402846
185	791745
186	45584
187	-498047
188	614250
189	1075366
190	-335381
191	-1003909
192	2274730
193	-203702
194	-824967
195	830
196	-748580
197	-648453
198	194005
199	-968642
200	-414766
201	-623805
202	784833
203	-843731
204	-302155
205	485379
206	-1606862
207	-2990273
208	294248
209	728500
210	-1551111
211	-1853017
212	-335657
213	-925698
214	-429826
215	613194
216	-488121
217	437430
218	-405251
219	-784890
220	991228
221	582723
222	-1291671
223	-1978915
224	439511
225	219733
226	99359
227	916324
228	58037
229	91052
230	571433
231	-820708
232	-178497
233	-1177266
234	397507
235	1940093
236	-277917
237	166769
238	1440007
239	157379
240	544738
241	-1834232
242	-627859
243	-653881
244	75218
245	994580
246	-1508165
247	-1331832
248	100895
249	-474141
250	907895
251	1610200
252	128566
253	-657958
254	211628
255	1066888
256	183420
257	127974
258	1243860
259	1000948
260	-758241
261	-911084
262	658278
263	-50639
264	-488827
265	-756214
266	952087
267	181243
268	-1476056
269	1052929
270	125571
271	-756423
272	-957175
273	-238244
274	1372070
275	-634735
276	183819
277	-1277941
278	-1884619
279	-317131
280	1219834
281	1461284
282	-892295
283	188073
284	1606638
285	337440
286	1814306
287	-938885
288	-191672
289	-417318
290	597945
291	-511445
292	288487
293	2222063
294	-617124
295	-94145
296	-1252267
297	-445011
298	-1392872
299	215299
300	510924
301	850285
302	-855819
303	1212991
304	-931256
305	-45301
306	-283029
307	377960
308	-340475
309	-1320795
310	577551
311	-569623
312	1256772
313	-211956
314	-841642
315	944202
316	331754
317	-344904
318	-595909
319	40571
320	1012531
321	916696
322	-1277706
323	767988
324	-198891
325	-1766373
326	233361
327	-664162
328	1682167
329	-78117
330	675854
331	-344651
332	-365589
333	-545737
334	114079
335	-95133
336	-829770
337	84245
338	-813322
339	-1109537
340	109576
341	-586676
342	306794
343	-1847384
344	854519
345	765053
346	399802
347	503813
348	-917724
349	-447330
350	-614182
351	1160966
352	987303
353	-612258
354	-88890
355	554689
356	-741675
357	-102439
358	336746
359	-762253
360	1024418
361	-870544
362	889283
363	-1002874
364	1232622
365	-996634
366	-837680
367	804692
368	-459788
369	328047
370	-1996479
371	205020
372	186558
373	-1275528
374	422467
375	179411
376	-262161
377	90866
378	1822723
379	-1557946
380	-280744
381	-812828
382	-83904
383	640862
384	-599439
385	515488
386	1066062
387	-674124
388	586478
389	-4085
390	-1246251
391	-197326
392	-423803
393	1107192
394	121978
395	-639603
396	-1381788
397	916348
398	-319587
399	548775
400	648366
401	558458
402	624815
403	-465947
404	636071
405	-93296
406	-1800938
407	-128831
408	1589842
409	302920
410	-230892
411	-13368
412	-305378
413	153374
414	84655
415	-2486356
416	365228
417	-706990
418	-736145
419	1309947
420	1592263
421	-393094
422	-493454
423	406004
424	1591713
425	-28922
426	1552005
427	-1095580
428	284515
429	431087
430	604503
431	-102643
432	341030
433	-1174240
434	-141723
435	-1818341
436	383939
437	456458
438	1736296
439	677009
440	-295224
441	-1018947
442	-1223562
443	442719
444	-74381
445	188187
446	2030919
447	100510
448	-1409077
449	1091835
450	14953
451	-1544293
452	660045
453	495980
454	272750
455	-13668
456	-1790739
457	-716281
458	1404996
459	-699242
460	547693
461	266479
462	180314
463	481834
464	117934
465	-817554
466	-189209
467	-1905723
468	128397
469	341571
470	67317
471	-1232374
472	690273
473	-317065
474	2411696
475	-47573
476	-1219520
477	66292
478	-87854
479	-382589
480	-631204
481	820990
482	-1791334
483	-503412
484	52411
485	265771
486	-599844
487	-82645
488	425037
489	205078
490	1066017
491	-861864
492	211971
493	56370
494	638135
495	-175349
496	1130931
497	847653
498	304912
499	304912
